Name,Status,Priority,Assigned To,Estimated Hours,Phase,Tags,Description
Database Schema - TrackMan Sessions,Not started,High,Mac Mini M4,4,1 - Foundation,"Database,Prisma","Utvide schema.prisma med TrackManSession, TrackManShot, TrackManAnalysis tabeller"
Database Schema - Migrations,Not started,High,Mac Mini M4,2,1 - Foundation,"Database,Prisma","Kjøre prisma migrate dev med nye felter og relasjoner"
TrackMan Parser V2 - Alle parametere,Not started,High,Mac Mini M4,4,1 - Foundation,"Parser,CSV","Utvide trackman-parser.ts med alle 20+ parametere fra TrackMan CSV"
TrackMan Parser V2 - Testing,Not started,Medium,Mac Mini M4,2,1 - Foundation,"Testing,Parser","Unit tests for parser med sample CSV data"
Knowledge Base - TrackMan parametere,Not started,High,Mac Mini M4,3,1 - Foundation,"AI,Knowledge","Opprette knowledge-base.ts med alle parametere og relasjoner"
Pattern Detection Engine,Not started,High,Mac Mini M4,4,1 - Foundation,"Algorithm,Analysis","Implementere spredningsanalyse og mønster-gjenkjenning (draw/fade/hook/slice)"
Dispersion Chart Komponent,Not started,High,MacBook Air M3,5,2 - Visualisering,"UI,Charts,Recharts","Scatter plot med trend-linje og sprednings-ellipse, fargekodet per klubb"
Parameter Cards (12 stk),Not started,High,MacBook Air M3,4,2 - Visualisering,"UI,Components","Bygge 12 parameter-kort med benchmark vs Tour og trend-indikatorer"
Technical Radar Chart,Not started,Medium,MacBook Air M3,3,2 - Visualisering,"UI,Charts","Radar-chart for teknisk profil - sammenligne Deg/Tour/Kategori"
Ball Flight Visualizer,Not started,Medium,MacBook Air M3,4,2 - Visualisering,"UI,Animation","2D ballflight simulering med framer-motion animasjon"
Range vs Course Analysis,Not started,High,Mac Mini M4,5,3 - Context,"Algorithm,Integration","Koble TrackMan-data med spill-data, identifisere gap og årsaker"
Shot Pattern Diagnosis,Not started,High,Mac Mini M4,4,3 - Context,"Algorithm,Diagnosis","Teknisk diagnose basert på parametere og mønstre"
Data Fusion Layer,Not started,Medium,Mac Mini M4,3,3 - Context,"Architecture,Integration","Kombinere TrackMan + Spill + Trening, normalisere og beregne korrelasjoner"
AI Coach System Prompts,Not started,High,MacBook Air M3,3,4 - AI Coach,"AI,Prompts","Definere system prompts for TrackMan Master Coach persona"
AI Coach Engine Core,Not started,High,Mac Mini M4,5,4 - AI Coach,"AI,Backend","Claude API integrasjon, analyse-funksjoner, respons-parser"
Drill Library,Not started,Medium,MacBook Air M3,3,4 - AI Coach,"Content,Database","Database av øvelser med mapping: Problem → Øvelse → Video"
AI Chat API Backend,Not started,High,Mac Mini M4,3,4 - AI Coach,"API,Backend","API routes for chat, session-håndtering, kontekst-bevaring"
TrackMan Dashboard V2,Not started,High,MacBook Air M3,5,5 - UI,"Dashboard,Integration","Oppdatere TrackMan-side med nye komponenter og layout"
Detailed Analysis Page,Not started,High,MacBook Air M3,4,5 - UI,"Page,Navigation","Tabs: Oversikt/Spredning/Teknikk/AI Coach med alt innhold"
AI Coach Chat UI,Not started,High,MacBook Air M3,4,5 - UI,"Chat,Components","Chat-grensesnitt med meldings-historikk og AI-responser"
Access Control System,Not started,Medium,Mac Mini M4,4,6 - Access,"Auth,Permissions","Implementere tilgangskontroll: Basic/Standard/Advanced/Pro nivåer"
Premium Gates,Not started,Medium,MacBook Air M3,3,6 - Access,"UI,Freemium","Komponenter for premium-features og upgrade prompts"
Unit Tests - Parser,Not started,Medium,Mac Mini M4,3,7 - Testing,"Testing,Quality","Komplette tester for TrackMan parser"
Unit Tests - Analysis,Not started,Medium,Mac Mini M4,3,7 - Testing,"Testing,Quality","Tester for analyse-algoritmer og mønster-gjenkjenning"
Unit Tests - AI Coach,Not started,Medium,Mac Mini M4,3,7 - Testing,"Testing,Quality","Tester for AI Coach engine og prompts"
Error Handling & Fallbacks,Not started,Medium,MacBook Air M3,2,7 - Polish,"ErrorHandling,UX","Global error boundary og fallback UI komponenter"
Performance Optimization,Not started,Low,Mac Mini M4,3,7 - Polish,"Performance,Optimization","Memoization, lazy loading, caching for bedre ytelse"
Documentation,Not started,Low,MacBook Air M3,2,7 - Polish,"Documentation","Komplett dokumentasjon av API og komponenter"
